id,date,crime_type,district,lat,lon,suspect,victim,modus_operandi,severity,anomaly
1,2026-02-26 23:08,Theft,Belagavi,15.88944,74.48664,Nihal Shere,Kabir Soman,Pickpocket,5,0
2,2026-03-27 23:38,Theft,Mangaluru,12.96592,74.97784,Devika Rastogi,Raksha Varughese,Snatch & run,2,0
3,2026-07-13 22:27,Theft,Mangaluru,12.89537,74.83727,Viraj Tiwari,Jai Kota,Shop-lift,1,0
4,2026-01-21 00:46,Theft,Bengaluru Urban,13.09794,77.65599,Ayushman Chander,Ekiya Suresh,Pickpocket,5,1
5,2026-01-12 18:45,Cyber Crime,Mysuru,12.25824,76.6828,Devansh Nigam,Yashica Cherian,Phishing,2,0
6,2025-11-26 17:23,Burglary,Tumakuru,13.30383,77.06374,Nihal Shere,Victor Kannan,Lock break,5,0
7,2026-03-13 20:24,Assault,Belagavi,15.86906,74.34464,Priya Rastogi,Kabir Soman,Weapon use,3,0
8,2026-03-21 07:25,Fraud,Shivamogga,13.79191,75.52312,Saumya Mall,Alka Wable,Cheque bounce,2,0
9,2025-08-21 20:16,Burglary,Kalaburagi,17.24867,76.85944,Ekavir Bhargava,Kabir Soman,Fake identity,5,0
10,2026-01-12 12:32,Cyber Crime,Mangaluru,12.84146,74.74302,Diya Rattan,Ekansh Balay,Phishing,2,0
11,2025-12-12 08:24,Fraud,Belagavi,15.96695,74.47964,Janaki Handa,Kabir Soman,Impersonation,1,1
12,2026-03-02 23:18,Assault,Kalaburagi,17.3351,76.72032,Janaki Handa,Ekavir Varkey,Domestic,5,0
13,2026-05-23 22:32,Assault,Ballari,15.09585,76.93027,Viraj Tiwari,Arya Sunder,Weapon use,5,0
14,2026-07-16 16:01,Vandalism,Vijayapura,16.73812,75.74006,Kevin Solanki,Urvashi Ray,Graffiti,2,0
15,2026-06-06 08:31,Vandalism,Bengaluru Urban,12.92355,77.57126,Diya Rattan,Upadhriti Wadhwa,Property damage,4,0
16,2025-10-19 02:59,Theft,Vijayapura,16.78206,75.85818,Daksh Karnik,Yashica Cherian,Snatch & run,3,1
17,2026-05-16 21:04,Assault,Mangaluru,12.91302,74.77138,Janya Gaba,Alka Wable,Weapon use,1,0
18,2026-03-21 10:55,Cyber Crime,Bengaluru Urban,13.0374,77.49693,Fariq Kaul,Girindra Chatterjee,Ransomware,2,0
19,2025-09-27 18:15,Cyber Crime,Hubballi,15.38141,74.96723,Dominic Kakar,Devansh Rajan,Phishing,4,0
20,2026-06-19 09:25,Burglary,Mysuru,12.18955,76.65515,Dominic Kakar,Radhika Dugar,Window entry,2,0
21,2026-04-14 00:15,Theft,Hubballi,15.42378,75.13771,Gagan Sami,Kabir Soman,Pickpocket,1,0
22,2026-07-09 19:10,Assault,Kalaburagi,17.32045,76.81021,Chakradev Kari,Irya Sampath,Road-rage,1,1
23,2025-12-29 00:18,Theft,Bengaluru Urban,12.85332,77.53701,Daksh Karnik,Kabir Soman,Snatch & run,2,0
24,2026-06-17 20:20,Theft,Bengaluru Urban,12.93475,77.67917,Unni Bhagat,Ekapad Walia,Vehicle theft,1,0
25,2026-04-12 21:04,Theft,Vijayapura,16.85769,75.56896,Nathaniel Sami,Alka Wable,Vehicle theft,5,0
26,2025-12-14 19:36,Cyber Crime,Belagavi,15.87563,74.46689,Priya Rastogi,Darsh Rau,SIM swap,2,0
27,2025-08-20 00:20,Theft,Mysuru,12.24165,76.68833,Priya Rastogi,Ikbal Kothari,Snatch & run,5,0
28,2026-06-09 12:16,Drug Offense,Vijayapura,16.91268,75.7845,Ranveer Yadav,Logan Sami,Peddling,2,0
29,2025-10-11 00:51,Theft,Mysuru,12.22866,76.61466,Aryan Maharaj,Kabir Soman,Shop-lift,1,1
30,2026-05-18 21:35,Theft,Vijayapura,16.8567,75.78804,Gayathri Chaudry,Yashica Issac,Vehicle theft,3,0
31,2026-06-20 21:27,Theft,Hubballi,15.32637,75.10915,Udant Dewan,Arya Shere,Vehicle theft,3,0
32,2025-07-20 00:00,Assault,Bengaluru Urban,12.88309,77.4989,Faqid Savant,Upadhriti Wadhwa,Group attack,3,0
33,2026-05-12 20:23,Theft,Belagavi,15.9147,74.6062,Dominic Kakar,Gavin Batta,Shop-lift,2,0
